,IoU,Precision,Recall,F1
sky,0.7415087223052979,0.9440945982933044,0.7755630612373352,0.8515705352073787
vegetation,0.6192412376403809,0.8586967587471008,0.6895010471343994,0.7648536057501324
car,0.5811684727668762,0.8636535406112671,0.6398772597312927,0.7351126863589645
building,0.5803996324539185,0.6903546452522278,0.7846707105636597,0.7344972694949109
road,0.5601602792739868,0.6716997623443604,0.7713414430618286,0.7180804845349487
person,0.3560987710952759,0.6004979014396667,0.46665191650390625,0.5251811436406837
terrain,0.22137701511383057,0.23604750633239746,0.7807952165603638,0.36250397367455095
traffic light,0.21249622106552124,0.7559342980384827,0.22814904153347015,0.3505103196305884
pole,0.19689814746379852,0.6898263692855835,0.21602341532707214,0.32901402838391275
sidewalk,0.17580844461917877,0.23654377460479736,0.4064278304576874,0.2990426572740311
fence,0.16911311447620392,0.33928996324539185,0.2521514594554901,0.2893015620420013
truck,0.1644429862499237,0.26852357387542725,0.29787907004356384,0.28244058929051835
traffic sign,0.11124692112207413,0.8615928292274475,0.11327116936445236,0.2002199828441859
wall,0.0668463185429573,0.13326053321361542,0.11826497316360474,0.12531573976410212
rider,0.023650163784623146,0.518761396408081,0.02418067492544651,0.04620751241121654
motorcycle,0.022588832303881645,0.3519822657108307,0.023569002747535706,0.04417969718229135
bicycle,0.013772156089544296,0.35756173729896545,0.014121591113507748,0.027170121731776544
train,0.0025346269831061363,0.0025549710262566805,0.2414601892232895,0.005056438251471444
bus,0.001001994009129703,0.036875154823064804,0.0010289214551448822,0.002001981933592328
Mean,0.5277270674705505,0.6724454760551453,0.7103233337402344,0.6908655855367658
